写真区分,写真種別,工種,種別,細別,備考,検索パターン
"直接工事費","着手前及び完成写真","舗装補修工","アスファルト舗装補修工","表層工","","着手前|完了|竣工"
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版切断","As舗装版切断状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版切断","既設舗装版切断状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版切断","完了",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版破砕","剥取状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版破砕","積込状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版破砕","既設舗装厚さ確認",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","舗装版破砕","完了",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","補足材搬入状況 M-40",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","補足材搬入状況 RC-40",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","補足材搬入状況 RM-40",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","不陸整正状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","転圧状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","上層路盤工","路盤完了状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","プライムコート乳剤散布状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","プライムコート養生砂散布状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","プライムコート養生砂清掃状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","端部乳剤塗布状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","舗設状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","初期転圧状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","2次転圧状況",""
"直接工事費","施工状況写真","舗装補修工","アスファルト舗装補修工","表層工","施工完了",""
"直接工事費","使用材料写真","舗装補修工","アスファルト舗装補修工","表層工","材料検収状況",""
"直接工事費","使用材料写真","舗装補修工","アスファルト舗装補修工","表層工","搬入状況",""
"直接工事費","品質管理写真","舗装補修工","アスファルト舗装補修工","上層路盤工","現場密度測定","密度測定|RI計器|砂置換法"
"直接工事費","品質管理写真","舗装補修工","アスファルト舗装補修工","表層工","アスファルト混合物温度測定","温度管理|合材温度|出荷温度|到着温度|敷均し温度|初期転圧温度"
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","上層路盤工","不陸整正出来形","路盤出来形|出来形検測|路盤|基準高下がり|基準高"
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","上層路盤工","不陸整正出来形・管理値",""
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","上層路盤工","不陸整正出来形・接写",""
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","上層路盤工","砕石厚測定",""
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","表層工","舗装厚測定","表層厚|コア厚|舗装厚"
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","表層工","舗装厚測定・管理値",""
"直接工事費","出来形管理写真","舗装補修工","アスファルト舗装補修工","表層工","舗装厚測定・接写",""
